cycle,chirp,elevation,azimuth,long_chirp,scanning,scan_complete
0,0,0,0,1,1,0
100,0,0,0,1,1,0
200,0,0,0,1,1,0
300,0,0,0,1,1,0
400,0,0,0,0,1,0
500,0,0,0,0,1,0
600,1,0,0,1,1,0
700,1,0,0,1,1,0
800,1,0,0,1,1,0
900,1,0,0,0,1,0
1000,1,0,0,0,1,0
1100,2,0,0,1,1,0
1200,2,0,0,1,1,0
1300,2,0,0,1,1,0
1400,2,0,0,0,1,0
1500,2,0,0,0,1,0
1600,3,0,0,1,1,0
1700,3,0,0,1,1,0
1800,3,0,0,1,1,0
1900,3,0,0,1,1,0
2000,3,0,0,0,1,0
2100,0,1,0,1,1,0
2200,0,1,0,1,1,0
2300,0,1,0,1,1,0
2400,0,1,0,1,1,0
2500,0,1,0,0,1,0
2600,0,1,0,0,1,0
2700,1,1,0,1,1,0
2800,1,1,0,1,1,0
2900,1,1,0,1,1,0
3000,1,1,0,0,1,0
3100,1,1,0,0,1,0
3200,2,1,0,1,1,0
3300,2,1,0,1,1,0
3400,2,1,0,1,1,0
3500,2,1,0,0,1,0
3600,2,1,0,0,1,0
3700,3,1,0,1,1,0
3800,3,1,0,1,1,0
3900,3,1,0,1,1,0
4000,3,1,0,1,1,0
4100,3,1,0,0,1,0
4200,0,2,0,1,1,0
4300,0,2,0,1,1,0
4400,0,2,0,1,1,0
4500,0,2,0,1,1,0
4600,0,2,0,0,1,0
4700,0,2,0,0,1,0
4800,1,2,0,1,1,0
4900,1,2,0,1,1,0
5000,1,2,0,1,1,0
5100,1,2,0,0,1,0
5200,1,2,0,0,1,0
5300,2,2,0,1,1,0
5400,2,2,0,1,1,0
5500,2,2,0,1,1,0
5600,2,2,0,0,1,0
5700,2,2,0,0,1,0
5800,3,2,0,1,1,0
5900,3,2,0,1,1,0
6000,3,2,0,1,1,0
6100,3,2,0,0,1,0
6200,3,2,0,0,1,0
6300,0,0,1,1,1,0
6400,0,0,1,1,1,0
6500,0,0,1,1,1,0
6600,0,0,1,1,1,0
6700,0,0,1,0,1,0
6800,1,0,1,1,1,0
6900,1,0,1,1,1,0
7000,1,0,1,1,1,0
7100,1,0,1,1,1,0
7200,1,0,1,0,1,0
7300,1,0,1,0,1,0
7400,2,0,1,1,1,0
7500,2,0,1,1,1,0
7600,2,0,1,1,1,0
7700,2,0,1,0,1,0
7800,2,0,1,0,1,0
7900,3,0,1,1,1,0
8000,3,0,1,1,1,0
8100,3,0,1,1,1,0
8200,3,0,1,0,1,0
8300,3,0,1,0,1,0
8400,0,1,1,1,1,0
8500,0,1,1,1,1,0
8600,0,1,1,1,1,0
8700,0,1,1,1,1,0
8800,0,1,1,0,1,0
8900,1,1,1,1,1,0
9000,1,1,1,1,1,0
9100,1,1,1,1,1,0
9200,1,1,1,1,1,0
9300,1,1,1,0,1,0
9400,1,1,1,0,1,0
9500,2,1,1,1,1,0
9600,2,1,1,1,1,0
9700,2,1,1,1,1,0
9800,2,1,1,0,1,0
9900,2,1,1,0,1,0
10000,3,1,1,1,1,0
10100,3,1,1,1,1,0
10200,3,1,1,1,1,0
10300,3,1,1,0,1,0
10400,3,1,1,0,1,0
10500,0,2,1,1,1,0
10600,0,2,1,1,1,0
10700,0,2,1,1,1,0
10800,0,2,1,1,1,0
10900,0,2,1,0,1,0
11000,1,2,1,1,1,0
11100,1,2,1,1,1,0
11200,1,2,1,1,1,0
11300,1,2,1,1,1,0
11400,1,2,1,0,1,0
11500,1,2,1,0,1,0
11600,2,2,1,1,1,0
11700,2,2,1,1,1,0
11800,2,2,1,1,1,0
11900,2,2,1,0,1,0
12000,2,2,1,0,1,0
12100,3,2,1,1,1,0
12200,3,2,1,1,1,0
12300,3,2,1,1,1,0
12400,3,2,1,0,1,0
12500,3,2,1,0,1,0
12600,0,0,0,1,1,0
12700,0,0,0,1,1,0
12800,0,0,0,1,1,0
12900,0,0,0,0,1,0
13000,0,0,0,0,1,0
13100,1,0,0,1,1,0
13200,1,0,0,1,1,0
13300,1,0,0,1,1,0
13400,1,0,0,1,1,0
13500,1,0,0,0,1,0
13600,2,0,0,1,1,0
13700,2,0,0,1,1,0
13800,2,0,0,1,1,0
13900,2,0,0,1,1,0
14000,2,0,0,0,1,0
14100,2,0,0,0,1,0
14200,3,0,0,1,1,0
14300,3,0,0,1,1,0
14400,3,0,0,1,1,0
14500,3,0,0,0,1,0
14600,3,0,0,0,1,0
14700,0,1,0,1,1,0
14800,0,1,0,1,1,0
14900,0,1,0,1,1,0
